rank,channel,program,metric_value,category,area,begin_date,week_start,week_end,metric_type,unit,analysis_basis,week_candidates_count,week_candidates,source_url,collected_at
5,MBN,무명전설1부,4.998,종편,전국,202401,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202401,2026-04-12T20:14:58
6,TV CHOSUN,미스트롯4토크콘서트3부,4.675,종편,전국,202401,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202401,2026-04-12T20:14:58
7,JTBC,히든싱어8,4.554,종편,전국,202401,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202401,2026-04-12T20:14:58
8,JTBC,JTBC토일드라마(미혼남녀의효율적만남),4.538,종편,전국,202401,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202401,2026-04-12T20:14:58
9,TV CHOSUN,트롯데스매치금타는금요일2부,4.24,종편,전국,202401,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202401,2026-04-12T20:14:58
10,TV CHOSUN,트롯데스매치금타는금요일1부,3.979,종편,전국,202401,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202401,2026-04-12T20:14:58
1,MBN,무명전설2부,1626.0,종편,전국,202402,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
2,MBN,무명전설3부,1373.0,종편,전국,202402,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
3,TV CHOSUN,미스트롯4토크콘서트2부,1346.0,종편,전국,202402,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
4,TV CHOSUN,미스트롯4토크콘서트1부,1276.0,종편,전국,202402,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
5,MBN,무명전설1부,1129.0,종편,전국,202402,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
6,JTBC,히든싱어8,1028.0,종편,전국,202402,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
7,TV CHOSUN,미스트롯4토크콘서트3부,1022.0,종편,전국,202402,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
8,JTBC,JTBC토일드라마(미혼남녀의효율적만남),1001.0,종편,전국,202402,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
9,TV CHOSUN,트롯데스매치금타는금요일2부,889.0,종편,전국,202402,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
10,TV CHOSUN,트롯데스매치금타는금요일1부,854.0,종편,전국,202402,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
1,MBN,무명전설2부,6.974,종편,전국,202402,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
2,MBN,무명전설3부,5.916,종편,전국,202402,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
3,TV CHOSUN,미스트롯4토크콘서트2부,5.881,종편,전국,202402,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
4,TV CHOSUN,미스트롯4토크콘서트1부,5.511,종편,전국,202402,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
5,MBN,무명전설1부,4.998,종편,전국,202402,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
6,TV CHOSUN,미스트롯4토크콘서트3부,4.675,종편,전국,202402,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
7,JTBC,히든싱어8,4.554,종편,전국,202402,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
8,JTBC,JTBC토일드라마(미혼남녀의효율적만남),4.538,종편,전국,202402,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
9,TV CHOSUN,트롯데스매치금타는금요일2부,4.24,종편,전국,202402,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
10,TV CHOSUN,트롯데스매치금타는금요일1부,3.979,종편,전국,202402,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202402,2026-04-12T20:14:59
1,MBN,무명전설2부,1626.0,종편,전국,202403,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202403,2026-04-12T20:15:01
2,MBN,무명전설3부,1373.0,종편,전국,202403,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202403,2026-04-12T20:15:01
3,TV CHOSUN,미스트롯4토크콘서트2부,1346.0,종편,전국,202403,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202403,2026-04-12T20:15:01
4,TV CHOSUN,미스트롯4토크콘서트1부,1276.0,종편,전국,202403,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202403,2026-04-12T20:15:01
5,MBN,무명전설1부,1129.0,종편,전국,202403,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202403,2026-04-12T20:15:01
6,JTBC,히든싱어8,1028.0,종편,전국,202403,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202403,2026-04-12T20:15:01
7,TV CHOSUN,미스트롯4토크콘서트3부,1022.0,종편,전국,202403,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202403,2026-04-12T20:15:01
8,JTBC,JTBC토일드라마(미혼남녀의효율적만남),1001.0,종편,전국,202403,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202403,2026-04-12T20:15:01
9,TV CHOSUN,트롯데스매치금타는금요일2부,889.0,종편,전국,202403,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202403,2026-04-12T20:15:01
10,TV CHOSUN,트롯데스매치금타는금요일1부,854.0,종편,전국,202403,2026.03.30,2026.04.05,audience_count,thousand_persons,"National, 개인, 단위:천 명",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202403,2026-04-12T20:15:01
1,MBN,무명전설2부,6.974,종편,전국,202403,2026.03.30,2026.04.05,household_rating,percent,"National, 유료플랫폼 가입 가구, 단위:%",4,20260330-20260405|20260406-20260412|20260413-20260419|20260420-20260426,https://www.nielsenkorea.co.kr/tv_terrestrial_day.asp?menu=Tit_1&sub_menu=2_2&area=00&begin_date=202403,2026-04-12T20:15:01
